code,Q,A,B,D,E,F,G
LFFA-F1516/20,LFXX/QAFXX/ I/NBO/ E/000/999/4412N00040E460,LFBB LFEE LFFF LFMM LFRR ,2020 Sep 29  15:45,,LA PENETRATION DANS LES FIR/UIR PAR LES B737MAX (B38M.B39M) EST  INTERDITE. DES AUTORISATIONS SPECIFIQUES PEUVENT ETRE DONNEES PAR LA  DGAC POUR DES VOLS DE CONVOYAGE NON COMMERCIAUX (FERRY FLIGHTS)  AUTORISES DANS LES CONDITIONS DE LA DIRECTIVE EASA AD 2019-0051-R1  ET RENDUS NECESSAIRES PAR LA SITUATION ACTUELLE (RAPATRIEMENT DE  L'AVION A LA BASE OU SUR SITE DE MAINTENANCE OU STOCKAGE)  LES DEMANDES ATTESTANT D'UN TEL BESOIN DOIVENT ETRE TRANSMISES A  L'ADRESSE SUIVANTE :  CABINET.DGAC(A)AVIATION-CIVILE.GOUV.FR ENTRE 0700 ET 1600 UTC,,
LFFA-F1631/20,LFXX/QAFXX/IV/NBO/ E/000/999/4412N00040E460,LFBB LFEE LFFF LFMM LFRR ,2020 Oct 17  15:44,,COVID-19: RESTRICTIONS PASSAGERS ET MESURES SANITAIRES :  I - LA FRANCE MAINTIENT LES CONTROLES A SES FRONTIERES ET RESTREINT  CERTAINS DEPLACEMENTS. EN APPLICATION DU DECRET NR 2020-1262 DU 16  OCTOBRE 2020 ET DES INSTRUCTIONS NR 6187/SG DU 01/07/2020 ET  NR 6204 DU 15 AOUT 2020 .  II - LES PASSAGERS ARRIVANT EN FRANCE METROPOLITAINE DEPUIS :  - LES ETATS MEMBRES DE L'UNION EUROPEENNE ET ANDORRE. ISLANDE.  LIECHTENSTEIN. MONACO. NORVEGE. SAINT-MARIN. SUISSE. ROYAUME-UNI ET  VATICAN.  - L'AUSTRALIE. LE CANADA. LA COREE DU SUD. LA GEORGIE. LE JAPON. LA  NOUVELLE-ZELANDE. LE RWANDA. LA THAILANDE. LA TUNISIE. ET  L'URUGUAY NE SONT PAS LIMITES DANS LEURS MOTIFS DE DEPLACEMENT AU  TITRE DE LA PREVENTION DU RISQUE LIE A L'EPIDEMIE DE COVID-19.  III - LES PASSAGERS ARRIVANT DE TOUT AUTRE PAYS NE SONT AUTORISES A  ENTRER EN FRANCE QUE POUR LES MOTIFS FIGURANT SUR LES ATTESTATIONS  DE DEPLACEMENT DEROGATOIRE DISPONIBLES SUR INTERNET (SITE DU  MINISTERE DE L'INTERIEUR).   LES DISPOSITIONS DU PRESENT  III NE S'APPLIQUENT PAS AUX  RESSORTISSANTS LIBANAIS RESIDANT DANS LEUR PAYS ET APPORTANT LA  PREUVE D'UNE RESIDENCE REGULIERE AU LIBAN. IV - LES PASSAGERS DE ONZE ANS OU PLUS ARRIVANT EN FRANCE  METROPOLITAINE DEPUIS : LES ETATS-UNIS. BAHREIN. LES EMIRATS ARABES UNIS ET LE PANAMA.  DOIVENT PRESENTER POUR POUVOIR EMBARQUER LE RESULTAT D'UN TEST OU  D'UN EXAMEN BIOLOGIQUE DE DEPISTAGE VIROLOGIQUE REALISE MOINS DE 72  HEURES AVANT LE VOL NE CONCLUANT PAS A UNE CONTAMINATION PAR LA  COVID-19. LES PASSAGERS ARRIVANT DES ETATS-UNIS PEUVENT EGALEMENT  ETRE AUTORISES A EMBARQUER S'ILS SONT MUNIS D'UN LAISSEZ PASSER,,
LFFA-R2274/20,LFXX/QRTCA/IV/ BO/ W/000/999/4453N00154W058,LFBB LFRR ,2020 Oct 12  11:30,,OPERATION 'BALBUZARD 2020' - SUP AIP 179/20 : OBJET : CREATION. A TITRE TEMPORAIRE. D'UNE ZONE REGLEMENTEE ET  D'UNE ZONE DANGEREUSE. CES ZONES SERONT ACTIVEES PAR NOTAM. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,UNL
LFFA-R2275/20,LFXX/QRTTT/IV/ BO/ W/000/999/4453N00154W058,LFBB LFRR ,2020 Oct 12  11:30,,NOTAM TRIGGER - SUP AIP 179/20 EN VIGUEUR LE 12 OCTOBRE 2020 :  OPERATION 'BALBUZARD 2020' NECESSITANT LA CREATION. A TITRE  TEMPORAIRE. D'UNE ZONE REGLEMENTEE ET D'UNE ZONE DANGEREUSE.,SFC,UNL
LFFA-D3669/20,LFBB/QACAH/IV/NBO/AE/000/020/4410N00035E009,LFBA  AGEN LA GARENNE,2020 Sep 07  06:00,,HORAIRES ACTIVATION CTR AGEN : LUN-VEN : 0600-1800 EXTENSION POSSIBLE JUSQU'A 21H00 POUR VOL REGULIER PROGRAMME AVEC PPR 24HR. SAM-DIM : 0700-1800 SAUF 10. 11 ET 24 OCTOBRE: 0700-1100 1230-1800. EN DEHORS DE CES HORAIRES. ATS NON ASSURE. CTR DECLASSEE EN G.,,
LFFA-D4355/20,LFBB/QNXAS/ V/  B/AE/000/195/4410N00035E025,LFBA  AGEN LA GARENNE,2020 Oct 15  14:45,,VDF 121.300MHZ HORS SERVICE,,
LFFA-R0927/20,LFBB/QROLP/IV/NBO/AW/000/007/4412N00038E002,LFBA  AGEN LA GARENNE,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 : OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE AU-DESSUS DU  QUARTIER TOUSSAINT A AGEN. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-F1528/20,LFBB/QAFHX/IV/NBO/AE/000/033/4432N00108W025,LFBC  CAZAUX,2020 Oct 01  11:36,,FLUX MIGRATOIRE MOYEN DIRECTION NORD-SUD : SFC/3300FT AMSL.,,
LFFA-R0677/20,LFBB/QRRCA/IV/ BO/AW/000/195/4418N00122W039,LFBC  CAZAUX,2020 Apr 02  11:00,,MODIFICATION TEMPORAIRE DES LIMITES LATERALES DES ZONES LF-R31 A1 ET A3 CAZAUX (SECTEUR BASSIN ARCACHON) : VOIR SUP AIP 042/20 DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,FL195
LFFA-R0930/20,LFBB/QROLP/IV/NBO/AW/000/006/4432N00107W004,LFBC  CAZAUX,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 :  OBJET : CREATION D'UNE ZONE INTERDITE TEMPORAIRE SUR L'AERODROME DE  CAZAUX. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
LFFA-R1154/20,LFBB/QRTCA/IV/ BO/AW/000/018/4431N00110W002,LFBC  CAZAUX,2020 Jun 04  00:00,,TIRS SOL/SOL A SANGUINET - SUP AIP 087/20 : OBJET : CREATION D'UNE ZONE REGLEMENTEE TEMPRAIRE (ZRT289). CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,1800FT AMSL
LFFA-R1793/20,LFBB/QCTLT/ I/  B/AE/000/195/4418N00125W042,LFBC  CAZAUX,2020 Aug 12  15:45,,SERVICES RADAR LIMITES A 42NM DE CAA DANS LA ZONE REGLEMENTEE  LF-R31A1 (RADAR SECOURS TRAC 2000),,
LFFA-R2519/20,LFBB/QCTAS/ I/  B/AE/000/999/4439N00128W058,LFBC  CAZAUX,2020 Oct 19  09:15,0915-1015,SERVICES RADAR NON ASSURES DANS LES ZONES REGLEMENTEES LF-R31 A1.  LF-R31 A2. LF-R31 A3. LF-R31 A4. LF-R31 B ET LF-R31 H.,,
LFFA-R0929/20,LFBB/QROLP/IV/NBO/AW/000/007/4450N00045W005,LFBD  BORDEAUX MERIGNAC,2020 May 07  00:00,,INTERDICTION DE SURVOL D'INSTALLATIONS SPECIFIQUES DEFENSE - SUP  AIP 067/20 : OBJET : CREATION DE 2 ZONES INTERDITES TEMPORAIRES SUR SAUVAGNAC ET  MERIGNAC. CE SUP AIP EST DISPONIBLE SUR WWW.SIA.AVIATION-CIVILE.GOUV.FR,SFC,500FT AGL
